"author fan count","original message","original message sentiment","original message received timestamp","response timestamp","response time (minutes)"
"","testing","neutral","2022-08-18 17:37:15","2022-08-19 07:00:33","803"
"","testing","neutral","2022-08-18 17:37:15","2022-08-19 07:00:33","803"
"","testing","neutral","2022-08-18 17:37:15","2022-08-18 17:37:25","0"
"","testing","neutral","2022-08-18 17:37:15","2022-08-19 07:00:34","803"
"","testing","neutral","2022-08-18 17:37:15","2022-08-19 07:00:35","803"
"","testing","neutral","2022-08-18 17:37:15","2022-08-19 07:00:36","803"
"","testing","neutral","2022-08-18 17:37:15","2022-08-19 07:00:41","803"
"","testing","neutral","2022-08-18 17:37:15","2022-08-19 07:00:41","803"
"","testing","neutral","2022-08-18 17:37:15","2022-08-19 07:00:41","803"
"","Hi","neutral","2022-08-19 07:00:15","2022-08-19 07:01:18","1"
"","Hi","neutral","2022-08-19 07:00:15","2022-08-25 18:51:24","9351"
"","Hi","neutral","2022-08-19 07:00:15","2022-08-22 17:10:42","4930"
"","Hi","neutral","2022-08-19 07:00:15","2022-08-25 18:51:26","9351"
"","Hi","neutral","2022-08-19 07:00:15","2022-08-25 18:51:28","9351"
"","Hi","neutral","2022-08-19 07:00:15","2022-08-25 18:51:28","9351"
"","Hi","neutral","2022-08-19 07:00:15","2022-08-25 18:51:30","9351"
"","Hi","neutral","2022-08-19 07:00:15","2022-08-25 18:51:31","9351"
"","Hi","neutral","2022-08-19 07:00:15","2022-08-25 18:51:32","9351"
"","Hi","neutral","2022-08-19 07:00:15","2022-08-25 18:51:33","9351"
"","Hi","neutral","2022-08-19 07:00:15","2022-08-25 18:51:34","9351"
"","Hi","neutral","2022-08-19 07:00:15","2022-08-25 18:51:35","9351"
"","Hi","neutral","2022-08-19 07:00:15","2022-08-25 18:51:37","9351"
"","Hi","neutral","2022-08-19 07:00:15","2022-08-25 18:51:38","9351"
"","Hi","neutral","2022-08-19 07:00:15","2022-08-25 18:51:39","9351"
"","Hi","neutral","2022-08-19 07:00:15","2022-08-25 18:51:40","9351"
"","Hi","neutral","2022-08-19 07:00:15","2022-08-25 18:51:41","9351"
"","Hi","neutral","2022-08-19 07:00:15","2022-08-25 18:51:42","9351"
"","Hi","neutral","2022-08-19 07:00:15","2022-08-25 18:51:43","9351"
"","Hi","neutral","2022-08-19 10:10:42","2022-08-25 18:45:46","9155"
"","Hi","neutral","2022-08-19 10:10:42","2022-08-25 18:45:47","9155"
"","Hi","neutral","2022-08-19 10:10:42","2022-08-22 17:10:25","4739"
"","Hi","neutral","2022-08-19 10:10:42","2022-08-19 10:10:46","0"
"","Hi","neutral","2022-08-19 10:10:42","2022-08-25 18:45:48","9155"
"","Hi","neutral","2022-08-19 10:10:42","2022-08-25 18:45:49","9155"
"","Hi","neutral","2022-08-19 10:10:42","2022-08-25 18:45:50","9155"
"","Hi","neutral","2022-08-19 10:10:42","2022-08-25 18:45:51","9155"
"","Hi","neutral","2022-08-19 10:10:42","2022-08-25 18:45:52","9155"
"","Hi","neutral","2022-08-19 10:10:42","2022-08-25 18:45:52","9155"
"","Hi","neutral","2022-08-19 10:10:42","2022-08-25 18:45:53","9155"
"","Hi","neutral","2022-08-19 10:10:42","2022-08-25 18:45:54","9155"
"","Hi","neutral","2022-08-19 10:10:42","2022-08-25 18:45:55","9155"
"","Hi","neutral","2022-08-19 10:10:42","2022-08-25 18:45:56","9155"
"","Hi","neutral","2022-08-19 10:10:42","2022-08-25 18:45:56","9155"
"","Hi","neutral","2022-08-19 10:10:42","2022-08-25 18:45:57","9155"
"","Hi","neutral","2022-08-19 10:10:42","2022-08-25 18:45:58","9155"
"","Hi","neutral","2022-08-19 10:10:42","2022-08-25 18:45:59","9155"
"","Hi","neutral","2022-08-19 10:10:42","2022-08-25 18:46:00","9155"
"","Hi","neutral","2022-08-19 10:10:42","2022-08-25 18:46:01","9155"
"","Nice Post","positive","2022-08-19 10:14:12","2022-08-29 04:54:02","14079"
"","Nice Post","positive","2022-08-19 10:14:12","2022-08-29 04:54:02","14079"
"","Nice Post","positive","2022-08-19 10:14:12","",""
"","Nice Post","positive","2022-08-19 10:14:13","2022-08-29 04:54:02","14079"
"","Nice Post","positive","2022-08-19 10:14:13","2022-08-29 04:54:02","14079"
"","Nice Post","positive","2022-08-19 10:14:13","2022-08-29 04:54:02","14079"
"","Nice Post","positive","2022-08-19 10:14:13","2022-08-29 04:54:02","14079"
"","Nice Post","positive","2022-08-19 10:14:13","2022-08-29 04:54:02","14079"
"","Nice Post","positive","2022-08-19 10:14:13","2022-08-29 04:54:02","14079"
"","Nice Post","positive","2022-08-19 10:14:14","2022-08-29 04:54:02","14079"
"","Nice Post","positive","2022-08-19 10:14:14","2022-08-29 04:54:02","14079"
"","Nice Post","positive","2022-08-19 10:14:14","2022-08-29 04:54:02","14079"
"","Nice Post","positive","2022-08-19 10:14:14","2022-08-29 04:54:02","14079"
"","Nice Post","positive","2022-08-19 10:14:15","2022-08-29 04:54:02","14079"
"","Nice Post","positive","2022-08-19 10:14:15","2022-08-29 04:54:02","14079"
"","Nice Post","positive","2022-08-19 10:14:15","2022-08-29 04:54:02","14079"
"","Nice Post","positive","2022-08-19 10:14:15","2022-08-29 04:54:02","14079"
"","Nice Post","positive","2022-08-19 10:14:15","2022-08-29 04:54:02","14079"
"","Nice Post","positive","2022-08-19 10:14:16","2022-08-29 04:54:02","14079"
"","Working hours","positive","2022-07-14 16:25:35","2022-08-22 17:10:27","56204"
"","hello","neutral","2022-06-30 16:06:23","2022-08-22 17:10:28","76384"
"","cafe","neutral","2022-06-09 16:19:40","2022-08-22 17:10:29","106610"
"","coffee","neutral","2022-06-01 10:48:53","2022-08-22 17:10:30","118461"
"","i need coffee","neutral","2022-05-12 16:07:05","2022-08-22 17:10:31","146943"
"","Hello","neutral","2022-05-02 16:47:05","2022-08-22 17:10:32","161303"
"","mocha","neutral","2022-04-12 07:31:15","2022-08-22 17:10:33","190659"
